name,price
Python网络数据爬取及分析从入门到精通（分析篇）,50.10
【Python基础教程】Python网络编程第3版 Python3爬虫数据分析编程理解技术 Pyth,53.40
学习编程第一步 零基础上手Python开发,63.80
Python编程从入门到实践+用Python写网络爬虫 第2版 组套装,100.70
正版 Pythan爬虫开发 从入门到实战（微课版） 计算机网络 程序设计 Python,35.90
图解算法 使用Python,36.50
机器人系统设计与制作：Python语言实现,48.70
Python编程从入门到精通 零基础学编程基础教程核心编程图书 网络编程web开发大数据,57.70
Python科学计算基础教程,38.70
人邮新书 Python数据科学手册 数据分析计算书籍 机器学习 NumPy数据存储 Ma,81.20
3本 精通Python爬虫框架Scrapy+用Python写网络爬虫+Python3网络爬虫开发实战,147.90
PyQt5快速开发与实战,88.10
Python网络编程(Linux) Python语言编程入门教程书籍,27.60
Python编程导论 *2版 Python 3 MIT热门MOOC教材 计算机科学基础知,51.40
从零开始学Python网络爬虫 Python编程 Python入门到实践 网络爬虫书籍,46.90
[正版二手] Python数据分析实战9787115432209【意】内利/人民邮电,24.00
包邮 2本 精通Python爬虫框架Scrapy +用Python写网络爬虫 第2版,77.00
包邮小学生C++趣味编程+青少年学Python 趣学Python教程书籍,102.80
Python爬虫开发与项目实战 计算机与互联网 书籍|5894193,55.30
包邮 MXNet神经网络与量化投资+零起点Python大数据+TensorFlow与量化交易书籍,218.60
Python语言程序设计基础(第2版),32.20
Python网络编程(第3版),60.80
自动化平台测试开发-Python测试开发实战,58.70
包邮Python物理建模初学者指南+Python物理学高效计算+物理建模初学者指南,192.80
Python爬虫开发与项目实战,62.40
Python编程快速上手 让繁琐工作自动化  Python3编程从入门到实践 编程语言与程序设计书籍,48.00
Python数据处理（影印版 英文版）,78.00
Python3面向对象编程(第2版),74.30
Python高手之路,36.30
教孩子学编程+父与子的编程之旅:与小卡特一起学PythonPython语言版python y,95.60
机器人系统设计与制作：Python语言实现+ROS机器人程序设计（原书第2版）2本,96.00
机器人Python极客编程入门与实战,49.40
Python数据分析：基于Plotly的动态可视化绘图 孙洋洋  等 电子工业出版社,62.80
包邮 Python从菜鸟到高手+Python编程 从入门到实践 2本 python编程书,157.60
Python网络爬虫实例教程 视频讲解版,36.90
趣学Python编程 Jason Briggs 编程语言,35.10
Python与量化投资,82.20
包邮Python从菜鸟到高手+零基础入门学习Python Python3零基础入门自学教程书籍,132.80
Python语言及其应用书籍,56.80
深度学习入门 基于Python的理论与实现,48.20
Python数据挖掘入门与实践,42.80
人民邮电：PythonCookbook（第3版）中文版,75.00
Python基础教程（第3版）,99.00
包邮 Python自动化运维：技术与最佳实践|3804188,48.30
用Python写网络爬虫（第二版）,33.80
我的Python世界 玩《Minecraft 我的世界学Python编程书+树莓派实战全攻略书籍,141.80
包邮 Python学习手册（原书第5版）上下册2本/计算机编程设计书籍|8053406,153.30
包邮 PySpark实战指南：利用Python和Spark构建数据密集型|6877019,34.30
Python新手使用Django架站的16堂课,71.20
Python 程序设计基础实战教程,36.00
Python Cookbook(中文版 第3版) 计算机与互联网  初中级Python程序员晋级书籍,87.80
包邮 编程导论 以Python为舟 Python语言编程入门教程书籍 python3核心编程基础教程,53.80
Python数据分析入门 从数据获取到可视化 机器学习算法建模编程书  python数据处理 正版,43.10
正版包邮 Python编程 从入门到实践 基本教程到完整项目开发爬虫学习数据分析处理 语言程序设计p,56.00
Python网络爬虫实战(第2版),60.00
和孩子一起玩编程+编程真好玩 套装 趣学python 少儿编程真好玩 中小学编程入门书籍,110.20
Python网络爬虫实战（第2版）,58.50
父与子的编程之旅 与小卡特一起学Python 中小学生编程 python编程入门教程 Python语,58.20
Python机器学习实践指南,50.00
OpenCV算法精解：基于Python与C++ OpenCV入门教程书籍,51.50
Python树莓派编程,37.20
Python社会媒体挖掘,61.40
Python数据可视化编程实战 *2版 数据分析处理教程 数据科学 matplotlib,50.40
包邮 用Python写网络爬虫第2版+笨办法学Python 3 共2册图书籍,79.90
"【北京发货】Python语言及其应用 [美] 卢布诺维克(Bill Lubanovic),",54.80
包邮 Selenium自动化测试之道——基于Python和Java语言 计算机 软件开发,45.80
Python核心编程(第二版)(Python领域经典作品、非常有名的开发指南) ChunW,64.00
Python计算机视觉编程 核心编程设计开发基础教程 动态脚本语言教材,49.30
新书 Python数据科学手册 数据分析计算书籍 机器学习 NumPy数据存储 Ma,77.85
扫码看视频笨办法学python3 基础编程从入门到实践 核心编程语言书籍 计算机程序设计从零到入门,41.30
树莓派Python编程入门与实战(第2版),53.10
机器学习系统设计：Python语言实现,48.70
Python 3 基础教程 Python核心编程 Python入门自学,30.60
Python测试之道 Python3.6数据处理接口自动化测试并发测试技术 Python3.6编程程,38.28
毫无障碍学Python,44.10
PYTHON编程基础,32.60
Python绝技(运用Python成为顶级黑客)/安全技术大系,57.67
Python与有限元,41.50
Python深度学习：基于TensorFlow 计算机与互联网 书籍|8052596,54.50
用Python写网络爬虫+Python编程从入门到实践 全2册  Python编程序设计基础教程入门,102.00
Python参考手册(第4版·修订版),64.50
Web接口开发与自动化测试：基于Python语言 虫师 9787121310997 电子工,44.80
Python金融衍生品大数据分析,77.20
和孩子一起玩编程 中小学编程入门书 趣学python编程入门零基础教孩子学编程的书,49.50
Python贝叶斯分析,56.60
Python爬虫框架Scrapy 计算机类-软件开发 迪米特里,46.02
我的Python世界 玩《Minecraft我的世界》学Python编程,57.80
深入浅出Python机器学习,49.40
Python高性能编程,57.87
人邮新书 Python 3网络爬虫开发实战 崔庆才Scrapy数据分析处理手册 数据抓取,74.00
零起点Python大数据与量化交易,77.20
趣学Python：教孩子学编程 布里格斯 9787115381439 人民邮电出版社,46.00
流利的Python语言(影印版)(英文版),80.24
学习编程第一步 零基础上手Python开发 Python编程入门教程书籍 Python库构建Web应,59.80
Python数据分析基础 零编程经验也可学会用Python语言进行数据分析,51.40
